firstName,lastName,war
Babe,Ruth,182.6
Walter,Johnson,167.8
Cy,Young,163.6
Barry,Bonds,162.8
Willie,Mays,156.1
Ty,Cobb,151.4
Henry,Aaron,143.2
Roger,Clemens,139.2
Tris,Speaker,134.9
Honus,Wagner,131.0
Stan,Musial,128.6
Rogers,Hornsby,127.1
Eddie,Collins,124.3
Ted,Williams,121.8
Grover,Alexander,119.7
Alex,Rodriguez,117.4
Kid,Nichols,116.3
Lou,Gehrig,113.7
Rickey,Henderson,111.2
Mel,Ott,111.0
Mickey,Mantle,110.2
Tom,Seaver,109.9
Frank,Robinson,107.3
Nap,Lajoie,106.9
Mike,Schmidt,106.9
Lefty,Grove,106.8
Christy,Mathewson,106.7
Greg,Maddux,106.6
Albert,Pujols,101.2
Randy,Johnson,101.1
Joe,Morgan,100.6
Warren,Spahn,100.1
Carl,Yastrzemski,96.5
Eddie,Mathews,96.0
Phil,Niekro,95.9
Cal Ripken,Jr.,95.9
Roberto,Clemente,94.9
Bert,Blyleven,94.5
Cap,Anson,94.3
Jimmie,Foxx,92.9
Al,Kaline,92.7
Wade,Boggs,91.4
Eddie,Plank,91.2
Steve,Carlton,90.2
Gaylord,Perry,90.0
Bob,Gibson,89.1
George,Brett,88.6
Tim,Keefe,86.9
Mike,Trout,86.4
Robin,Roberts,86.2
Chipper,Jones,85.3
Charlie,Gehringer,84.8
George,Davis,84.5
Roger,Connor,84.3
Fergie,Jenkins,84.1
Pedro,Martinez,83.9
Ken Griffey,Jr.,83.8
John,Clarkson,83.2
Mike,Mussina,82.8
Nolan,Ryan,81.3
Rod,Carew,81.2
Tom,Glavine,80.7
Justin,Verlander,80.3
Jeff,Bagwell,79.9
Clayton,Kershaw,79.6
Pete,Rose,79.6
Curt,Schilling,79.5
Joe,DiMaggio,79.1
Dan,Brouthers,78.7
Brooks,Robinson,78.3
Arky,Vaughan,77.9
Zack,Greinke,77.4
Robin,Yount,77.4
Luke,Appling,77.2
Ozzie,Smith,76.9
Bobby,Wallace,76.4
Jim,McCormick,76.2
Paul,Molitor,75.7
Sam,Crawford,75.4
Old Hoss,Radbourn,75.4
Bill,Dahlen,75.3
Max,Scherzer,75.3
Johnny,Bench,75.1
Lou,Whitaker,75.1
Paul,Waner,74.7
Reggie,Jackson,74.0
Frank,Thomas,73.8
Pud,Galvin,73.4
Jim,Thome,73.1
Mookie,Betts,72.8
Larry,Walker,72.7
Harry,Heilmann,72.2
Frankie,Frisch,72.0
Rafael,Palmeiro,71.9
Derek,Jeter,71.3
Bobby,Grich,71.0
Ted,Lyons,70.7
Alan,Trammell,70.6
Barry,Larkin,70.5
Johnny,Mize,70.5
Ron,Santo,70.5
Gary,Carter,70.1
Scott,Rolen,70.1
Ed,Delahanty,69.6
Rick,Reuschel,69.5
Tim,Raines,69.4
Manny,Ramirez,69.3
Tony,Gwynn,69.1
John,Smoltz,69.0
Eddie,Murray,68.7
Red,Ruffing,68.6
Carl,Hubbell,68.5
Jim,Palmer,68.5
Al,Simmons,68.5
Carlton,Fisk,68.4
Kenny,Lofton,68.4
Pee Wee,Reese,68.4
Fred,Clarke,68.0
Graig,Nettles,67.9
Ryne,Sandberg,67.9
Kevin,Brown,67.8
Ernie,Banks,67.7
Miguel,Cabrera,67.2
Dwight,Evans,67.2
Don,Drysdale,67.1
Roberto,Alomar,67.0
Don,Sutton,66.7
Tony,Mullane,66.6
Ed,Walsh,66.5
Buddy,Bell,66.3
Luis,Tiant,66.1
Goose,Goslin,65.9
Willie,Randolph,65.9
Duke,Snider,65.9
Amos,Rusie,65.8
Craig,Biggio,65.4
Joe,Cronin,64.8
Andre,Dawson,64.8
Reggie,Smith,64.6
Chase,Utley,64.6
Willie,McCovey,64.5
Richie,Ashburn,64.3
Roy,Halladay,64.2
Dave,Winfield,64.2
Paul,Goldschmidt,64.1
Jackie,Robinson,63.9
Red,Faber,63.8
Clark,Griffith,63.8
Joey,Votto,63.6
Billy,Williams,63.6
Bob,Feller,63.4
Billy,Hamilton,63.2
Vic,Willis,63.2
Lou,Boudreau,63.1
Home Run,Baker,62.8
Ken,Boyer,62.8
Juan,Marichal,62.8
Hal,Newhouser,62.8
Freddie,Freeman,62.7
Andruw,Jones,62.7
David,Cone,62.3
CC,Sabathia,62.3
John,Ward,62.3
Mickey,Welch,62.3
Joe,Jackson,62.2
Mark,McGwire,62.2
Dennis,Eckersley,62.1
Stan,Coveleski,61.9
Todd,Helton,61.8
Jack,Glasscock,61.6
Tommy,John,61.6
Sal,Bando,61.5
Bullet,Rogan,61.3
Jake,Beckley,61.2
Tommy,Bond,60.9
Early,Wynn,60.9
Willie,Davis,60.8
Charlie,Buffinton,60.7
Gary,Sheffield,60.5
Jim,Edmonds,60.4
Harmon,Killebrew,60.4
Manny,Machado,60.4
Dazzy,Vance,60.4
Zack,Wheat,60.4
Keith,Hernandez,60.3
Bobby,Abreu,60.2
Andy,Pettitte,60.2
Al,Spalding,60.2
Wes,Ferrell,60.1
Ichiro,Suzuki,60.0
Jesse,Burkett,59.7
Yogi,Berra,59.5
Bob,Caruthers,59.5
Vladimir,Guerrero,59.5
Mike,Piazza,59.5
Jim,Bunning,59.4
Sherry,Magee,59.4
Mark,Buehrle,59.0
Eddie,Cicotte,59.0
Cole,Hamels,59.0
Joe,McGinnity,59.0
Urban,Shocker,59.0
Evan,Longoria,58.9
Bret,Saberhagen,58.9
Dick,Allen,58.7
Darrell,Evans,58.7
Jack,Quinn,58.6
Sammy,Sosa,58.6
Rube,Waddell,58.4
Aaron,Judge,58.3
John,Olerud,58.1
Mordecai,Brown,58.0
Bobby,Bonds,57.9
Chuck,Finley,57.9
Tim,Hudson,57.9
Nolan,Arenado,57.7
Billy,Herman,57.6
Willie,Stargell,57.6
Joe,Torre,57.6
Enos,Slaughter,57.5
George,Sisler,57.2
Frank,Tanana,57.1
Whitey,Ford,57.0
Larry,Doby,56.7
Will,Clark,56.5
Bill,Terry,56.5
Bill,Dickey,56.4
Dave,Stieb,56.4
Johnny,Damon,56.3
Mariano,Rivera,56.3
Robin,Ventura,56.1
Orel,Hershiser,56.0
Jim,Whitney,56.0
Eppa,Rixey,55.9
Jim,Wynn,55.9
Luis,Aparicio,55.8
Bob,Johnson,55.7
Chet,Lemon,55.7
Chris,Sale,55.7
Max,Carey,55.6
Joe,Gordon,55.6
Hank,Greenberg,55.6
